2020-05-01 23:37:24.7529|ERROR|MailSender|System.Net.Mail.SmtpException: The SMTP server requires a secure connection or the client was not authenticated. The server response was: 5.7.0 Authentication Required. Learn more at
   at System.Net.Mail.MailCommand.CheckResponse(SmtpStatusCode statusCode, String response)
   at System.Net.Mail.MailCommand.Send(SmtpConnection conn, Byte[] command, MailAddress from, Boolean allowUnicode)
   at System.Net.Mail.SmtpTransport.SendMail(MailAddress sender, MailAddressCollection recipients, String deliveryNotify, Boolean allowUnicode, SmtpFailedRecipientException& exception)
   at System.Net.Mail.SmtpClient.Send(MailMessage message)
   at MailSender.SendMail(String subject, String body, String[] toMails) in G:\project\My\LearnBug\Services\MailSender.cs:line 36
2020-05-01 23:39:31.7992|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:8d1b5c89 has started in 92.9007 ms
2020-05-01 23:39:31.7992|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:8622ca0f has started in 101.9103 ms
2020-05-01 23:39:31.8182|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:1ca1f544 has started in 111.5073 ms
2020-05-01 23:39:31.8342|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:ecc66e0e has started in 127.236 ms
2020-05-01 23:39:31.8642|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:4b2eed93 has started in 157.031 ms
2020-05-01 23:39:31.8472|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-01 23:39:31.8842|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:e922bbd9 has started in 177.0814 ms
2020-05-01 23:39:31.9242|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:2401b4e7 has started in 217.3894 ms
2020-05-01 23:39:31.9242|DEBUG|Hangfire.SqlServer.CountersAggregator|Aggregating records in 'Counter' table...
2020-05-01 23:39:32.0772|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:aaa939ad has started in 370.5323 ms
2020-05-01 23:39:32.1673|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:782b6b84 has started in 460.7222 ms
2020-05-01 23:39:32.1673|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:cd82dc44 has started in 460.4998 ms
2020-05-01 23:39:32.2203|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:57ca79e0 has started in 513.1238 ms
2020-05-01 23:39:32.2853|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:f2b6e878 has started in 578.1199 ms
2020-05-01 23:39:32.3183|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:49b2e066 has started in 611.4563 ms
2020-05-01 23:39:32.3773|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:66112f16 has started in 670.8096 ms
2020-05-01 23:39:32.3773|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:6067573d has started in 671.0116 ms
2020-05-01 23:39:32.3773|TRACE|Hangfire.SqlServer.ExpirationManager|Outdated records removed from the 'AggregatedCounter' table.
2020-05-01 23:39:32.4783|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:019b8ea1 has started in 771.7247 ms
