2020-05-21 19:45:09.7411|ERROR|MailSender|System.Net.Mail.SmtpException: Failure sending mail. ---> System.Net.WebException: The remote name could not be resolved: 'smtp.gmail.com'
   at System.Net.ServicePoint.GetConnection(PooledStream PooledStream, Object owner, Boolean async, IPAddress& address, Socket& abortSocket, Socket& abortSocket6)
   at System.Net.PooledStream.Activate(Object owningObject, Boolean async, GeneralAsyncDelegate asyncCallback)
   at System.Net.PooledStream.Activate(Object owningObject, GeneralAsyncDelegate asyncCallback)
   at System.Net.ConnectionPool.GetConnection(Object owningObject, GeneralAsyncDelegate asyncCallback, Int32 creationTimeout)
   at System.Net.Mail.SmtpConnection.GetConnection(ServicePoint servicePoint)
   at System.Net.Mail.SmtpTransport.GetConnection(ServicePoint servicePoint)
   at System.Net.Mail.SmtpClient.GetConnection()
   at System.Net.Mail.SmtpClient.Send(MailMessage message)
   --- End of inner exception stack trace ---
   at System.Net.Mail.SmtpClient.Send(MailMessage message)
   at MailSender.SendMail(String subject, String body, String[] toMails) in G:\project\My\LearnBug\Services\MailSender.cs:line 36
2020-05-21 19:52:05.8564|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:52:05.9514|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:52:10.7968|DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:18900:b0e6da85 heartbeat successfully sent
2020-05-21 19:52:10.8488|TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:18900:b0e6da85 waiting for 00:00:30 delay before sending a heartbeat
2020-05-21 19:52:10.9998|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:52:11.0288|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:52:16.0516|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:52:16.0796|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:52:21.1097|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:52:21.1368|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:52:26.2250|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:52:26.3460|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:52:31.4056|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:52:31.4266|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:52:36.4628|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:52:36.4908|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:52:40.9077|DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:18900:b0e6da85 heartbeat successfully sent
2020-05-21 19:52:40.9337|TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:18900:b0e6da85 waiting for 00:00:30 delay before sending a heartbeat
2020-05-21 19:52:41.5256|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:52:41.5677|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:52:46.6615|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:52:47.0166|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:52:52.5190|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:52:52.5509|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:52:57.5852|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:52:57.6142|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:53:02.6561|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:53:02.6902|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:53:07.7505|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:53:07.7735|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
